Reg_no,Subject1,Subject2,Subject3,Subject4,Subject5,Subject6,Subject7,Subject8,Subject9

MDL16EC001,MA101(A+),CY100(B+),BE100(C),BE10104(B),BE103(B+),ME100(F),CY110(O),ME110(A+),EC110(O)
MDL16EC002,MA101(A+),CY100(C),BE100(F),BE10104(F),BE103(A),ME100(F),CY110(O),ME110(A),EC110(A)
MDL16EC003,MA101(O),CY100(B+),BE100(B),BE10104(B+),BE103(A),ME100(B),CY110(O),ME110(O),EC110(O)
MDL16EC004,MA101(O),CY100(B+),BE100(B),BE10104(B+),BE103(B+),ME100(C),CY110(O),ME110(O),EC110(O)
MDL16EC005,MA101(O),CY100(A+),BE100(B+),BE10104(B+),BE103(B+),ME100(B+),CY110(O),ME110(O),EC110(O)
MDL16EC006,MA101(O),CY100(A),BE100(B+),BE10104(B),BE103(A),ME100(B),CY110(O),ME110(O),EC110(A)
MDL16EC007,MA101(O),CY100(B+),BE100(B+),BE10104(B+),BE103(A+),ME100(B),CY110(O),ME110(O),EC110(O)
MDL16EC008,MA101(B+),CY100(A),BE100(B+),BE10104(A),BE103(A+),ME100(B),CY110(O),ME110(O),EC110(O)
MDL16EC009,MA101(O),CY100(C),BE100(B),BE10104(B),BE103(B+),ME100(F),CY110(O),ME110(A),EC110(B+)
MDL16EC010,MA101(B),CY100(F),BE100(C),BE10104(C),BE103(C),ME100(F),CY110(O),ME110(O),EC110(B+)
MDL16EC011,MA101(F),CY100(B),BE100(F),BE10104(C),BE103(B+),ME100(F),CY110(O),ME110(A+),EC110(A)
MDL16EC012,MA101(A),CY100(A),BE100(B),BE10104(B),BE103(B+),ME100(B),CY110(O),ME110(A+),EC110(A+)
MDL16EC013,MA101(A+),CY100(A),BE100(B),BE10104(B+),BE103(B+),ME100(B+),CY110(O),ME110(A+),EC110(O)
MDL16EC014,MA101(A+),CY100(A+),BE100(B+),BE10104(B+),BE103(A),ME100(B),CY110(O),ME110(A+),EC110(A+)
MDL16EC015,MA101(A+),CY100(B+),BE100(B),BE10104(A),BE103(B+),ME100(B),CY110(A+),ME110(A),EC110(O)
MDL16EC016,MA101(A+),CY100(B+),BE100(B),BE10104(B+),BE103(A),ME100(B),CY110(O),ME110(A),EC110(A+)
MDL16EC017,MA101(O),CY100(A+),BE100(C),BE10104(A+),BE103(A+),ME100(B+),CY110(O),ME110(A+),EC110(A)
MDL16EC018,MA101(O),CY100(O),BE100(A),BE10104(A),BE103(A+),ME100(A),CY110(O),ME110(A+),EC110(O)
MDL16EC019,MA101(A),CY100(A),BE100(B+),BE10104(B+),BE103(O),ME100(B),CY110(O),ME110(A),EC110(O)
MDL16EC020,MA101(A),CY100(B+),BE100(C),BE10104(B),BE103(A+),ME100(B),CY110(O),ME110(A),EC110(O)
MDL16EC021,MA101(B+),CY100(C),BE100(B),BE10104(B),BE103(B+),ME100(F),CY110(O),ME110(O),EC110(A)
MDL16EC022,MA101(A),CY100(B+),BE100(B),BE10104(B),BE103(B),ME100(B),CY110(O),ME110(A+),EC110(A)
MDL16EC023,MA101(O),CY100(O),BE100(A),BE10104(O),BE103(A),ME100(A),CY110(O),ME110(O),EC110(O)
MDL16EC024,MA101(B),CY100(A),BE100(F),BE10104(B),BE103(B+),ME100(B+),CY110(O),ME110(A+),EC110(A)
MDL16EC025,MA101(O),CY100(A+),BE100(B),BE10104(A),BE103(A),ME100(B+),CY110(O),ME110(O),EC110(A+)
MDL16EC026,MA101(O),CY100(B),BE100(A),BE10104(B+),BE103(B+),ME100(B+),CY110(O),ME110(O),EC110(A+)
MDL16EC027,MA101(A+),CY100(A+),BE100(B),BE10104(B+),BE103(B+),ME100(B+),CY110(O),ME110(A+),EC110(B+)
MDL16EC028,MA101(B+),CY100(B+),BE100(C),BE10104(B),BE103(B+),ME100(B+),CY110(O),ME110(O),EC110(A)
MDL16EC029,MA101(A+),CY100(A),BE100(A+),BE10104(B),BE103(A),ME100(C),CY110(O),ME110(O),EC110(A)
MDL16EC030,MA101(B),CY100(B+),BE100(B),BE10104(B),BE103(A),ME100(B),CY110(O),ME110(O),EC110(A)
MDL16EC031,MA101(O),CY100(O),BE100(B+),BE10104(B),BE103(A+),ME100(B+),CY110(O),ME110(A+),EC110(A+)
MDL16EC032,MA101(O),CY100(A+),BE100(A),BE10104(A),BE103(B+),ME100(B),CY110(O),ME110(A+),EC110(O)
MDL16EC033,MA101(O),CY100(A+),BE100(A+),BE10104(A+),BE103(A),ME100(B+),CY110(O),ME110(O),EC110(O)
MDL16EC034,MA101(O),CY100(A),BE100(A),BE10104(B),BE103(A+),ME100(A),CY110(O),ME110(O),EC110(A+)
MDL16EC035,MA101(O),CY100(O),BE100(B+),BE10104(A+),BE103(A+),ME100(A+),CY110(O),ME110(A+),EC110(O)
MDL16EC036,MA101(B+),CY100(A),BE100(B+),BE10104(B),BE103(B+),ME100(B+),CY110(A+),ME110(A),EC110(O)
MDL16EC037,MA101(B+),CY100(B+),BE100(B),BE10104(B+),BE103(A+),ME100(B+),CY110(O),ME110(A+),EC110(O)
MDL16EC038,MA101(O),CY100(A+),BE100(A),BE10104(B),BE103(B+),ME100(A),CY110(O),ME110(O),EC110(O)
MDL16EC039,MA101(A+),CY100(O),BE100(B),BE10104(A+),BE103(A+),ME100(A+),CY110(O),ME110(A+),EC110(O)
MDL16EC040,MA101(A),CY100(B+),BE100(A),BE10104(B+),BE103(B+),ME100(B+),CY110(O),ME110(O),EC110(A+)
MDL16EC041,MA101(O),CY100(B+),BE100(B+),BE10104(B+),BE103(B+),ME100(B),CY110(O),ME110(O),EC110(O)
MDL16EC042,MA101(A+),CY100(O),BE100(A+),BE10104(B+),BE103(A+),ME100(O),CY110(O),ME110(A+),EC110(A)
MDL16EC043,MA101(B),CY100(F),BE100(B),BE10104(C),BE103(B),ME100(F),CY110(A+),ME110(O),EC110(B)
MDL16EC044,MA101(A+),CY100(O),BE100(A+),BE10104(A+),BE103(A+),ME100(O),CY110(O),ME110(O),EC110(O)
MDL16EC045,MA101(A+),CY100(O),BE100(C),BE10104(B+),BE103(B+),ME100(B+),CY110(O),ME110(A),EC110(O)
MDL16EC046,MA101(A+),CY100(O),BE100(F),BE10104(C),BE103(B+),ME100(B),CY110(O),ME110(A+),EC110(A)
MDL16EC047,MA101(A+),CY100(C),BE100(B),BE10104(C),BE103(B),ME100(B),CY110(A),ME110(A+),EC110(B)
MDL16EC048,MA101(O),CY100(A+),BE100(A+),BE10104(B+),BE103(A+),ME100(O),CY110(O),ME110(O),EC110(A+)
MDL16EC049,MA101(B),CY100(C),BE100(C),BE10104(F),BE103(A),ME100(B),CY110(O),ME110(A+),EC110(B+)
MDL16EC050,MA101(A),CY100(F),BE100(B+),BE10104(F),BE103(B+),ME100(B),CY110(O),ME110(B+),EC110(A)
MDL16EC051,MA101(A+),CY100(B),BE100(B+),BE10104(B+),BE103(B),ME100(B),CY110(O),ME110(A+),EC110(B+)
MDL16EC052,MA101(O),CY100(O),BE100(A),BE10104(B+),BE103(A+),ME100(A),CY110(O),ME110(A+),EC110(A)
MDL16EC053,MA101(A),CY100(B),BE100(B+),BE10104(B+),BE103(B+),ME100(B+),CY110(O),ME110(A),EC110(A)
