Reg_no,Subject19,Subject20,Subject21,Subject22,Subject23,Subject24,Subject25,Subject26
ADR16EC037,MA201(F),HS200(C),EC201(F),EC203(F),EC205(F),EC207(F),EC231(B+),EC233(B+)
ADR16EC061,MA201(C),HS200(P),EC201(C),EC203(F),EC205(F),EC207(F),EC231(B),EC233(C)
CHN16EC001,MA201(C),HS200(B),EC201(C),EC203(F),EC205(P),EC207(F),EC231(B),EC233(B+)
LMDL16EC121,MA201(F),HS200(C),EC201(F),EC203(F),EC205(F),EC207(F),EC231(A),EC233(B)
LMDL16EC122,MA201(F),HS200(F),EC201(F),EC203(P),EC205(F),EC207(F),EC231(B+),EC233(B+)
LMDL16EC123,MA201(F),HS200(C),EC201(F),EC203(F),EC205(F),EC207(F),EC231(B),EC233(B+)
LMDL16EC124,MA201(C),HS200(C),EC201(C),EC203(F),EC205(F),EC207(F),EC231(B),EC233(B+)
LMDL16EC125,MA201(B),HS200(B),EC201(B),EC203(B),EC205(B),EC207(B),EC231(O),EC233(O)
LMDL16EC126,MA201(B),HS200(B),EC201(C),EC203(F),EC205(C),EC207(F),EC231(A+),EC233(A)
LMDL16EC127,MA201(F),HS200(C),EC201(F),EC203(F),EC205(F),EC207(F),EC231(B+),EC233(B)
LMDL16EC128,MA201(C),HS200(C),EC201(F),EC203(F),EC205(B),EC207(B),EC231(O),EC233(B+)
MAC16EC015,MA201(A),HS200(B+),EC201(B+),EC203(B+),EC205(B+),EC207(B),EC231(O),EC233(O)
MDL16EC001,MA201(B+),HS200(B+),EC201(B+),EC203(A),EC205(B+),EC207(C),EC231(A),EC233(O)
MDL16EC002,MA201(B+),HS200(C),EC201(B),EC203(C),EC205(C),EC207(F),EC231(B+),EC233(B+)
MDL16EC003,MA201(A+),HS200(B+),EC201(A),EC203(C),EC205(B),EC207(B+),EC231(O),EC233(O)
MDL16EC004,MA201(B+),HS200(B),EC201(A),EC203(B+),EC205(B),EC207(B),EC231(A+),EC233(O)
MDL16EC005,MA201(A),HS200(B+),EC201(A),EC203(B+),EC205(B),EC207(B),EC231(A+),EC233(O)
MDL16EC006,MA201(B+),HS200(B),EC201(F),EC203(F),EC205(C),EC207(B),EC231(B+),EC233(B+)
MDL16EC007,MA201(A+),HS200(B+),EC201(B+),EC203(B),EC205(B+),EC207(B+),EC231(O),EC233(O)
MDL16EC008,MA201(B+),HS200(B+),EC201(B+),EC203(B+),EC205(B+),EC207(C),EC231(O),EC233(O)
MDL16EC009,MA201(B+),HS200(B),EC201(B+),EC203(A),EC205(F),EC207(B+),EC231(A+),EC233(O)
MDL16EC010,MA201(F),HS200(F),EC201(C),EC203(F),EC205(F),EC207(F),EC231(A),EC233(B+)
MDL16EC011,MA201(C),HS200(C),EC201(C),EC203(B),EC205(B),EC207(F),EC231(A),EC233(B)
MDL16EC012,MA201(B+),HS200(B),EC201(B+),EC203(B+),EC205(B),EC207(C),EC231(B+),EC233(O)
MDL16EC013,MA201(A),HS200(C),EC201(B+),EC203(B),EC205(B),EC207(A+),EC231(O),EC233(O)
MDL16EC014,MA201(A),HS200(B),EC201(A+),EC203(B),EC205(B+),EC207(B+),EC231(A),EC233(A+)
MDL16EC015,MA201(B+),HS200(B+),EC201(B),EC203(C),EC205(B+),EC207(B),EC231(A),EC233(O)
MDL16EC016,MA201(A),HS200(B+),EC201(A),EC203(B+),EC205(B+),EC207(B+),EC231(A+),EC233(A)
MDL16EC017,MA201(A),HS200(A),EC201(A),EC203(B+),EC205(B),EC207(A),EC231(A),EC233(A+)
MDL16EC018,MA201(B+),HS200(B+),EC201(A+),EC203(A),EC205(B+),EC207(B),EC231(A+),EC233(A)
MDL16EC019,MA201(B+),HS200(B),EC201(B),EC203(B),EC205(B),EC207(C),EC231(A),EC233(O)
MDL16EC020,MA201(A),HS200(B+),EC201(A),EC203(B),EC205(B),EC207(O),EC231(A),EC233(A+)
MDL16EC021,MA201(B),HS200(F),EC201(B),EC203(C),EC205(F),EC207(F),EC231(B+),EC233(A+)
MDL16EC022,MA201(B),HS200(C),EC201(B+),EC203(B),EC205(B),EC207(B),EC231(B+),EC233(A)
MDL16EC023,MA201(O),HS200(B+),EC201(A),EC203(B+),EC205(B),EC207(B+),EC231(O),EC233(O)
MDL16EC024,MA201(C),HS200(B),EC201(B),EC203(B),EC205(B+),EC207(C),EC231(B+),EC233(A)
MDL16EC025,MA201(B+),HS200(B+),EC201(A+),EC203(A+),EC205(A+),EC207(A),EC231(O),EC233(A)
MDL16EC026,MA201(O),HS200(B+),EC201(B+),EC203(A+),EC205(A+),EC207(B),EC231(O),EC233(A+)
MDL16EC027,MA201(B+),HS200(B+),EC201(B),EC203(B),EC205(B),EC207(B),EC231(B+),EC233(A+)
MDL16EC028,MA201(B+),HS200(C),EC201(B+),EC203(C),EC205(C),EC207(F),EC231(A),EC233(B+)
